Reference, Quantity, Value, Footprint, Datasheet, Digikey, MPN, Manufacturer, Mouser
JP3 ,1,"SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","~"
R1 R2 R3 R5 R6 R7 R10 R11 R14 R15 R18 R19 R20 R21 R22 R24 R25 R26 R27 R28 R30 R31 R32 R33 R34 R36 R37 R38 R39 R40 R42 R45 R46 R47 R49 R50 R51 R54 R57 ,39,"10k","Resistor_SMD:R_0402_1005Metric","~","RMCF0402FT10K0CT-ND","RMCF0402FT10K0","Stackpole",""
R23 R29 R35 R41 ,4,"1k","Resistor_SMD:R_0402_1005Metric","~","311-1KLBCT-ND","AC0402FR-071KL","Yageo",""
R4 R8 R9 R12 R13 R16 R17 R55 R56 ,9,"270R","Resistor_SMD:R_0402_1005Metric","~","311-270JRCT-ND","RC0402JR-07270RL","Yageo",""
R43 ,1,"100k","Resistor_SMD:R_0402_1005Metric","~","YAG3515CT-ND","AC0402JR-07100KL","Yageo",""
R44 ,1,"650R","Resistor_SMD:R_0402_1005Metric","~","P649KLCT-ND","ERJ-2RKF6493X","Panasonic Electronic Components",""
R48 ,1,"DNP","Resistor_SMD:R_0402_1005Metric","~"
R52 ,1,"22.1k","Resistor_SMD:R_0402_1005Metric","~","YAG3457CT-ND","AC0402FR-0722K1L","Yageo",""
R53 ,1,"47.5k","Resistor_SMD:R_0402_1005Metric","~","RMCF0402FT47K5CT-ND","RMCF0402FT47K5","Stackpole",""
RV1 RV2 RV3 ,3,"R_POT","","~","PTA4553-2015CPB103-ND","PTA4553-2015CPB103","Bourns Inc.",""
SW1 SW12 ,2,"SW_Push","","~","CKN12330-1-ND","PTS636 SK25F SMTR LFS","C&K",""
SW2 SW3 SW4 SW5 SW6 SW7 ,6,"SW_Push_LED","MK_Library:SW_Cherry_MX_Single_LED","~","CH160-ND","MX1A-11NW","Cherry Americas LLC",""
SW8 SW9 SW10 SW11 ,4,"Rotary_Encoder_Switch","","~","PEC12R-4222F-S0024-ND","PEC12R-4222F-S0024","Bourns Inc.",""
TP1 TP2 TP3 ,3,"TestPoint","TestPoint:TestPoint_Pad_1.5x1.5mm","~"
U1 ,1,"AP2114HA-3.3TRG1","TO_SOT_Packages_SMD:SOT-223-3_TabPin2","https://www.diodes.com/assets/Datasheets/AP2114.pdf","AP2114HA-3.3TRG1","AP2114HA-3.3TRG1DICT-ND","Diodes Inc.",""
U2 ,1,"ESP32-WROOM-32","RF_Module:ESP32-WROOM-32","https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32_datasheet_en.pdf","1904-1028-1-ND","ESP32-WROOM-32U (16MB)","Espressif Systems",""
U3 ,1,"NHD-3.12-25664UCW2","Connector_PinSocket_2.54mm:PinSocket_1x20_P2.54mm_Vertical","https://www.newhavendisplay.com/specs/NHD-3.12-25664UCW2.pdf","NHD-3.12-25664UCW2-ND","NHD-3.12-25664UCW2","Newhaven Display Intl",""
U4 ,1,"ATmega328P-PU","Package_DIP:DIP-28_W7.62mm","http://ww1.microchip.com/downloads/en/DeviceDoc/ATmega328_P%20AVR%20MCU%20with%20picoPower%20Technology%20Data%20Sheet%2040001984A.pdf","ATMEGA328PB-AU-ND","ATMEGA328PB-AU","Atmel",""
U5 ,1,"MCP23017_SO","Package_SO:SOIC-28W_7.5x17.9mm_P1.27mm","http://ww1.microchip.com/downloads/en/DeviceDoc/20001952C.pdf","MCP23017T-E/SOCT-ND","MCP23017T-E/SO","Microchip Technology",""
U6 ,1,"CY7C65632-28LTXC","","https://www.cypress.com/file/114101/download","CY7C65632-28LTXC-ND","CY7C65632-28LTXC","Cypress Semiconductor",""
U7 ,1,"24LC02","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://ww1.microchip.com/downloads/en/DeviceDoc/21709c.pdf","24LC02BT/SN","24LC02BT/SNCT-ND","Microchip",""
U8 ,1,"MIC2027-2BM ","Housings_SOIC:SOIC-16_3.9x9.9mm_Pitch1.27mm","https://ww1.microchip.com/downloads/en/DeviceDoc/mic2027.pdf","576-2138-ND","MIC2027-1YM","Microchip Technology",""
U9 ,1,"CP2102N-A02-GQFN20","","","336-5885-ND","CP2102N-A02","","634-CP2102NA02QFN20R"
Y1 ,1,"16MHz","","~","GC1200050CT-ND","GC1200050","Diodes Inc.",""
Y2 ,1,"12MHz","","~","1908-J49SML-A-G-G-K-12M0CT-ND","J49SML-A-G-G-K-12M0","Jauch Quartz",""
